"External ID","Бригада","Статус","Выполненные работы/Вид работ","Выполненный объем, м²","Начало смены","Операционное время по фактам работ, сек","Операционное время, ручная корректировка, ч","Event stock picking out count","Расход топлива/Оборудование/Отображаемое Имя","Выполненные работы/Контракт/Отображаемое Имя","Расход материалов/Контракт/Отображаемое Имя"
"__export__.roadmark_mrp_shift_work_shift_24559_08b89641","Р15 Коряков","Закрыта","","0.0","2024-04-03 07:57:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24348_d3d7c1aa","П04 Старикевич","Закрыта","","0.0","2024-04-03 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24373_ff1b11af","П09 Мартынюк","Закрыта","","0.0","2024-04-03 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24393_ddbc0775","П12 Крым","Закрыта","","0.0","2024-04-03 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24345_b1b2a92c","Р14 Порошин","Закрыта","","0.0","2024-04-03 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24321_76ffdd78","Р16 Симинский","Закрыта","","0.0","2024-04-03 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24353_093affda","Р17 Северенюк Д","Закрыта","","0.0","2024-04-03 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24328_8f74a376","Р18 Челлура","Закрыта","","0.0","2024-04-03 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24351_5c5cdb57","У01 Богдан","Закрыта","","0.0","2024-04-03 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24360_9190e53c","Д02 Жолнерук","Закрыта","","0.0","2024-04-03 08:30:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24436_04079169","К04 Северенюк","Закрыта","","0.0","2024-04-03 08:56:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24333_4f551108","К08 Семашко","Закрыта","","0.0","2024-04-03 09:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24352_316fb3fb","П08 Латыев","Закрыта","","0.0","2024-04-03 09:00:00","0.0","0.0","0","П08 Камаз C311TM716","",""
"","","","","","","","","","Газель 330232 Е064ВХ763","",""
"","","","","","","","","","П08 Вулкан 5000 №015/014","",""
"","","","","","","","","","П08 Контур 700 ТП №96/63АК1812","",""
"","","","","","","","","","Газель 330232 Е064ВХ763","",""
"","","","","","","","","","П08 Камаз C311TM716","",""
"__export__.roadmark_mrp_shift_work_shift_24406_084d003f","Р01 Бочкарёв","Закрыта","","0.0","2024-04-03 09:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24354_2041df6c","Р05 Шумик","Закрыта","","0.0","2024-04-03 09:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24341_2abf3333","Р06 Христик","Закрыта","","0.0","2024-04-03 09:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24377_0fd387a1","Р12 Симоненков","Закрыта","Ручные","12.26","2024-04-03 09:00:00","0.0","0.0","1","К07 HYUNDAI VT (HD78)  В902ХС763","ВАД Глубокий Яр - Скалистое(Крым)\\2024\\","ВАД Глубокий Яр - Скалистое(Крым)\\2024\\"
"","","","","","","","","","К07 Электростанция","",""
"","","","","","","","","","Воздуходувка GB-26","",""
"__export__.roadmark_mrp_shift_work_shift_24362_5628441f","Р13 Пиявка","Закрыта","Ручные","10.3","2024-04-03 09:00:00","0.0","0.0","2","Воздуходувка GB-26","ВАД УДС Симферополь \\2024\\","ВАД УДС Симферополь \\2024\\"
"","","","Ручные","","","","","","","ВАД УДС Симферополь \\2024\\",""
"","","","","","","","","","Р13 Генератор ресанта БГ4000Р","",""
"","","","","","","","","","ГАЗ В093ХТ-763/В093ХТ-763","",""
"","","","","","","","","","","","ВАД УДС Симферополь \\2024\\"
"__export__.roadmark_mrp_shift_work_shift_24381_5a67897c","Р19 Старикевич АА","Закрыта","","0.0","2024-04-03 09:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24366_13abc65d","П13 Омелянчук","Закрыта","","0.0","2024-04-03 09:25:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24322_9564a6f7","К03 Медведь","Закрыта","","0.0","2024-04-03 09:30:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24329_33bad46b","К05 Наумчик","Закрыта","","0.0","2024-04-03 13:40:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24451_f26224c0","Р04 Безсилко","Закрыта","","0.0","2024-04-03 15:08:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24376_23ded682","П07 Расщибин","Закрыта","Ручные","3.2","2024-04-03 19:40:00","0.0","0.0","1","Газель Next M422XP-716","ВАД УДС Симферополь \\2024\\","ВАД УДС Симферополь \\2024\\"
"__export__.roadmark_mrp_shift_work_shift_24370_304003ab","П10 Валеев","Закрыта","","0.0","2024-04-04 06:30:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24368_603d871d","К01 Чурак","Закрыта","","0.0","2024-04-04 07:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24460_cf4c06a9","П06 Алькин","Закрыта","","0.0","2024-04-04 07:00:00","0.0","0.0","0","Газель Next М398хр716","",""
"__export__.roadmark_mrp_shift_work_shift_24560_b7218774","Р15 Коряков","Закрыта","","0.0","2024-04-04 07:58:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24361_1c777ea0","Д02 Жолнерук","Закрыта","","0.0","2024-04-04 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24498_145ebf64","К06 Камалов_","Закрыта","","0.0","2024-04-04 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24371_62331436","П04 Старикевич","Закрыта","","0.0","2024-04-04 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24374_cfb274a1","П09 Мартынюк","Закрыта","","0.0","2024-04-04 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24394_6d882b3a","П12 Крым","Закрыта","","0.0","2024-04-04 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24452_a9555b89","Р04 Безсилко","Закрыта","","0.0","2024-04-04 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24503_90023406","Р14 Порошин","Закрыта","","0.0","2024-04-04 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24356_6f22353f","Р16 Симинский","Закрыта","Ручные","206.4","2024-04-04 08:00:00","0.0","0.0","1","Р02.1 LineLazer НОВЫЙ","г. Борисов (УП Жильё) \\2024\\","г. Борисов (УП Жильё) \\2024\\"
"__export__.roadmark_mrp_shift_work_shift_24383_eda00bb5","У01 Богдан","Закрыта","Ручные","10.8","2024-04-04 08:00:00","0.0","0.0","2","Р02 Бензогенератор","Полесьежилстрой (Гоголя 81, 10 оч.) \\2024\\","Полесьежилстрой (Гоголя 81, 10 оч.) \\2024\\"
"","","","","","","","","","","","Полесьежилстрой (Гоголя 81, 10 оч.) \\2024\\"
"__export__.roadmark_mrp_shift_work_shift_24387_4248c84b","У02 Назарук","Закрыта","","0.0","2024-04-04 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24357_f37731a3","К03 Медведь","Закрыта","","0.0","2024-04-04 08:30:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24389_c74deeb6","К05 Наумчик","Закрыта","","0.0","2024-04-04 08:55:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24437_b7e4034f","К04 Северенюк","Закрыта","","0.0","2024-04-04 08:57:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24385_b953bbbd","К08 Семашко","Закрыта","","0.0","2024-04-04 09:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24375_fd284bd5","П08 Латыев","Закрыта","Линейные","577.79","2024-04-04 09:00:00","0.0","0.0","1","П08 Контур 700 ТП №96/63АК1812","Вектор Крым \\2024\\","Вектор Крым \\2024\\"
"","","","Линейные","","","","","","","Вектор Крым \\2024\\",""
"","","","","","","","","","П08 Вулкан 5000 №015/014","",""
"","","","","","","","","","Газель 330232 Е064ВХ763","",""
"","","","","","","","","","П08 Камаз C311TM716","",""
"__export__.roadmark_mrp_shift_work_shift_24407_00915847","Р01 Бочкарёв","Закрыта","","0.0","2024-04-04 09:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24400_57442086","Р05 Шумик","Закрыта","","0.0","2024-04-04 09:00:00","0.0","0.0","0","К07 Вулкан 2х800","",""
"__export__.roadmark_mrp_shift_work_shift_24386_e2a2887d","Р06 Христик","Закрыта","","0.0","2024-04-04 09:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24379_491c7430","Р12 Симоненков","Закрыта","Ручные","76.8","2024-04-04 09:00:00","0.0","0.0","1","","ВАД Симферополь -Алушта - Ялта(временная разметка)\\2024\\","ВАД Симферополь -Алушта - Ялта(временная разметка)\\2024\\"
"__export__.roadmark_mrp_shift_work_shift_24390_eb92bd49","Р13 Пиявка","Закрыта","Ручные","116.0","2024-04-04 09:00:00","0.0","0.0","3","Р12 LineLazer Грако 3900","ВАД Симферополь -Алушта - Ялта(временная разметка)\\2024\\","ВАД Симферополь -Алушта - Ялта(временная разметка)\\2024\\"
"","","","Ручные","","","","","","","ВАД Симферополь -Алушта - Ялта(временная разметка)\\2024\\",""
"","","","","","","","","","Воздуходувка GB-26","",""
"","","","","","","","","","Р13 Генератор ресанта БГ4000Р","",""
"","","","","","","","","","ГАЗ В093ХТ-763/В093ХТ-763","",""
"","","","","","","","","","","","ВАД Симферополь -Алушта - Ялта(временная разметка)\\2024\\"
"","","","","","","","","","","","ВАД Симферополь -Алушта - Ялта(временная разметка)\\2024\\"
"__export__.roadmark_mrp_shift_work_shift_24382_72b196cd","Р19 Старикевич АА","Закрыта","","0.0","2024-04-04 09:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24367_54be9f3d","П13 Омелянчук","Закрыта","","0.0","2024-04-04 09:27:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24384_c016a619","Р17 Северенюк Д","Закрыта","Ручные","38.800000000000004","2024-04-04 14:00:00","0.0","0.0","2","Р05 LineLazer НОВЫЙ","Полесьежилстрой (Халтурина,6) \\2024\\","Полесьежилстрой (Халтурина,6) \\2024\\"
"","","","Ручные","","","","","","","СТиМ (Стоянки) \\2024\\",""
"","","","","","","","","","Р03 ГАЗ NEXT АН 7652-1 (новый)","",""
"","","","","","","","","","","","СТиМ (Стоянки) \\2024\\"
"__export__.roadmark_mrp_shift_work_shift_24378_be5e0784","Р18 Челлура","Закрыта","","0.0","2024-04-04 19:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24399_f00c430e","П07 Расщибин","Закрыта","Ручные","22.39","2024-04-04 19:35:00","0.0","0.0","1","Р14 Генератор Макита","ВАД УДС Симферополь \\2024\\","ВАД УДС Симферополь \\2024\\"
"","","","","","","","","","Р14 Воздуходувка Штиль","",""
"","","","","","","","","","Газель Next M422XP-716","",""
"","","","","","","","","","Газель Next M422XP-716","",""
"__export__.roadmark_mrp_shift_work_shift_24402_6c0ba001","П10 Валеев","Закрыта","","0.0","2024-04-05 06:15:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24411_d9050882","К01 Чурак","Закрыта","","0.0","2024-04-05 07:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24461_cf620a7a","П06 Алькин","Закрыта","","0.0","2024-04-05 07:00:00","0.0","0.0","0","Газель Next М398хр716","",""
"","","","","","","","","","Газель Next М398хр716","",""
"__export__.roadmark_mrp_shift_work_shift_24401_e4a7b4a9","Р05 Шумик","Закрыта","Ручные","131.2","2024-04-05 07:00:00","0.0","0.0","3","К07 Вулкан 2х800","пр. Шмидта, г. Могилев \\2023\\","пр. Шмидта, г. Могилев \\2023\\"
"","","","","","","","","","Р05 воздуходувка","",""
"","","","","","","","","","Р01 ISUZU  АК 5853-1/866039048467238","",""
"","","","","","","","","","","","пр. Шмидта, г. Могилев \\2023\\"
"","","","","","","","","","","","пр. Шмидта, г. Могилев \\2023\\"
"__export__.roadmark_mrp_shift_work_shift_24468_5a9fd506","К05 Наумчик","Закрыта","","0.0","2024-04-05 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24499_2fe0ef81","К06 Камалов_","Закрыта","","0.0","2024-04-05 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24577_734982f9","К10 Шелепов","Закрыта","","0.0","2024-04-05 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24418_3447cd0c","П04 Старикевич","Закрыта","","0.0","2024-04-05 08:00:00","0.0","0.0","0","","",""
"__export__.roadmark_mrp_shift_work_shift_24410_6d3e6678","П08 Латыев","Закрыта","Линейные","400.73","2024-04-05 08:00:00","0.0","0.0","1","П08 Контур 700 ТП №96/63АК1812","Вектор Крым \\2024\\","Вектор Крым \\2024\\"
"","","","Линейные","","","","","","","Вектор Крым \\2024\\",""
"","","","Линейные","","","","","","","Вектор Крым \\2024\\",""
"","","","","","","","","","П08 Вулкан 5000 №015/014","",""
"","","","","","","","","","Газель 330232 Е064ВХ763","",""
"","","","","","","","","","П08 Камаз C311TM716","",""
"","","","","","","","","","Газель 330232 Е064ВХ763","",""
"","","","","","","","","","П08 Камаз C311TM716","",""
